source,target
Are you free?,你有空吗
I heard someone call my name.,我听见有人叫我的名字
He had his car stolen last night.,昨晚他的车被偷了
Where does it hurt?,哪里疼
Stop resisting!,停止抵抗
Get into your car.,进你的车里
She must have been sick.,她一定是生病了
Those women are Canadians.,那些女人是加拿大人
She seems to be unhappy.,她看起来不幸福
Tom couldn't control himself.,汤姆不能自已
It'll rain soon.,天快要下雨了
Where is the accent on the word 'Australia?',“Australia”
She is wearing the same dress that she had on yesterday.,她穿著跟昨天相同的衣服
What is your name?,你叫什么名字
I know how old you are.,我知道你多大了
I sometimes break the rules.,我有时候打破规矩
I didn't want to surprise you.,我没想吓唬你
Do you have your driver's license?,你有驾驶执照吗
She invited us to her birthday party.,她邀请我们去她的生日派对
Tom is fluent in three languages.,汤姆掌握了三种语言
I've rented a room not far from here.,我租了一间离这里不远的屋子
Tom felt his phone vibrate.,汤姆感觉手机震荡了
I'll go by myself.,我会自己走
Let me do this for you.,让我为您做这件事
He fell backward.,他向后跌倒了
"""That student runs fast, doesn't he?""",那个学生跑得很快
This system has obvious defects.,这个系统有些明显的缺陷
This is my own bike.,这是我自己的自行车
I'm calling from a cell phone.,我正在用手机打电话
Tom cleared his throat and continued to speak.,汤姆咳嗽了一下然后接着讲
I struggled to get out of the subway.,我挣扎着挤出地铁
Why do you want to be a nurse?,你为什么想成为护士呢
It'll be spring soon.,春天快来了
It's me that's wrong.,是我错了
I entrusted my property to him.,我把我的财产托付给他
His advice didn't help much.,他的忠告没起到太大的作用
"""Despite his riches, he's not contented.""",尽管他很富有
Tom couldn't decide where to begin.,汤姆不能决定从哪里开始
Mary wants to become a teacher.,玛丽想成为一名教师
I will come earlier next time.,我下次会早点来
Tom was dressed like a pirate.,Tom
You can't have it both ways.,既要马好
I'm sorry I didn't reply to you sooner.,抱歉
Why don't you go see Tom?,你为甚么不去看汤姆
Tom is your brother.,汤姆是你的兄弟
That's an imitation.,那是一个仿造品
There are no comments yet.,还没有任何评论
I caught him stealing the money.,我抓到他偷钱
I hope he will wait for me.,我希望他会等我
The universe is limitless.,宇宙浩瀚无边
Why didn't you stop them?,你为什么不阻止他们
"""Computers are certainly playing an important role in our life, whether we like it or not.""",无论我们是否喜欢电脑
I'd rather do it by myself.,我更愿意自己做
He's my older brother.,他是我的哥哥
He is in his library.,他在图书馆里
I wonder what this phrase means.,我想知道这句话的意思
Tom listened carefully.,汤姆仔细听
He's always at home on Mondays.,他星期一总是在家
He is rather hard to please.,取悦他很难
I think I lost my keys.,我觉得我把钥匙丢了
Her speech moved the audience.,她的演说感动了听众
When does it arrive?,它什么时候到
I am convinced that he is innocent.,我相信他是无辜的
Are you two ready?,你们两个人都准备好了吗
I'll buy a watch for my son.,我将给儿子买块手表
The movie's about to start.,电影快要开演了
The world is full of fools.,世界上都是白痴
It's your favorite song.,它是你最喜欢的歌
We sat talking about the remote past.,我们坐着谈很久以前的事
UK is the abbreviation for the United Kingdom.,UK
The dog growled at the strange man.,狗对著这个陌生男子咆哮
I won't say it again.,我不会再说了
I walked along the river.,我沿着河走了段路
Tom is not a friendly guy.,汤姆不是个友好的家伙
Who's to blame?,是谁的错呢
Tom is being held captive.,汤姆被囚禁了
I knew he would accept.,我知道他会接受的
The other day I discovered a book written by my father.,前几天我发现了一本我父亲写的书
Tom isn't a great player.,汤姆不是一个好选手
The visitor sat across from me.,访客坐在我的对面
Tom hasn't talked to Mary in years.,汤姆多年没有和玛丽说话了
What I'm saying is true.,我说的是真的
I'm the best.,我是最好的
I always eat out.,我总是在外面吃饭
How's everything at work?,工作怎么样
He has a strong sense of responsibility.,他有强烈的责任感
You have to come with me.,你必须跟我来
Salmon lay their eggs in fresh water.,鲑鱼在淡水中产卵
She is everything to him.,她是他的一切
You should read a lot of books while you're young.,当你年轻的时候
You may choose whichever you want.,你可以选择任何你想要的
I'll come and see you one of these days.,这些天我会抽一天来看你的
He knows a lot about foreign affairs.,他知道很多外国事务
She might come.,她也许会来
He is fluent in Chinese.,他能说流利的中文
This word comes from Greek.,这个词来源于希腊语
Daddy loves to say funny things.,爹地喜欢讲有趣的事
The capital of Japan is Tokyo.,日本的首都是东京
I do not know whether to accept or to refuse.,我不知道是否该同意或拒绝
He applied for the scholarship.,他申请了奖学金
Can I use my medical insurance?,我可以使用我的医疗保险吗
The world is full of idiots.,世界上都是白痴
How did you like the party?,你觉得这个派对如何
I gave up all hope of survival.,我放弃了所有生存的希望
Speaking in French is fun.,说法语很有趣
I arrived at school on time.,我按时到了学校
This is just a hypothesis.,这只是个假设
What's your favorite way to cook potatoes?,你最喜欢用什么方式煮马铃薯
Is there anything else you want me to do?,你还有什么事情需要我去做的吗
He began to feel afraid.,他开始害怕了
I still don't understand what's happening.,我还是不明白出了什么事
We all wondered why she had dumped such a nice man.,我们都想知道她为什么甩了这么好的一个男人
I'm not so sure Tom is wrong.,我不太确定汤姆错了
He was playing the piano and she was singing.,他弹钢琴
These scissors don't cut well.,这把剪刀不好使
I want to eat some cake first.,我想先吃点蛋糕
I'd like to pay by check.,我想用支票付款
I got along with everybody.,我和大家相处
Cash donations will be accepted.,接受现金捐赠
"""Several minutes later, the telephone rang.""",几分钟后
We suggest raising the fees.,我们建议提高收费
I want to cry.,我想哭
Where did you study?,你在哪里学习
I hid in the tall grass.,我躲在高草丛里了
I'm glad to see you back.,很高兴再见到您
The poor child was on the verge of starvation.,那可怜的孩子快饿死了
The other day I went fishing for the first time in my life.,前几天人生第一次去钓鱼了
He was very good at playing tennis.,他网球打得很好
I know all my neighbors.,我认识我所有的邻居
Tom isn't through yet.,汤姆还没完成
You shouldn't go out.,你不应该出门
Money talks.,金钱万能
He was brought up by his uncle.,他被他的叔叔抚养长大
She is more pretty than beautiful.,说她美不如说她可爱
Don't let him down.,别让他失望
Did you really think I was going to help you?,你真的以为我会帮你吗
He sometimes drops in on me.,他有时候会来看我
The boy took the radio apart.,这个男孩把收音机折散架了
Please be careful when crossing the street.,过马路时请小心
Is it too late?,来迟了吗
Why's Tom always so grumpy?,汤姆脾气为什么总这么坏
My grandmother can't see very well.,我的祖母无法看得很清楚
She didn't show up at the party yesterday.,昨天的派对上她并没有如约而至
I don't have the slightest idea.,我没有丝毫的想法
Don't make fun of old people.,不要捉弄老人家
He lied to me. That is why I am angry with him.,他对我说了谎
Tom helped me fix my watch.,汤姆帮我修好了我的手表
She can swim further than I can.,她能游得比我远
Admission is $3.00 at the door.,入场费是
Watch your step.,走路小心
He is looking forward to it.,他对此很期待
Tell me you didn't do this.,告诉我你没有这么做
Leave the room as it is.,保留原状地离开房间
Why did you cry?,你为什么哭
Has Tom broken something again?,汤姆又弄坏了什么东西吗
I'm a good guy.,我是一个好人
He isn't going to buy a camera.,他不打算买一个摄像机
He imitated the works of Van Gogh.,他模仿了梵高的作品
A boy is walking across the street.,一个男孩正沿着街走
Tom ripped a page out of his sketch book.,汤姆从他的绘画本上撕下了一页
America was discovered by Columbus in 1492.,美国在
It is time you had a haircut!,你到了该去理发的时候了
I was the happiest man on earth.,我曾是世界上最幸福的男人
I will do the shopping for her birthday.,我要去给她生日买点东西
You should thank me.,你应该感谢我
The blackbirds' feathers are black.,乌鸫的羽毛是黑色的
It's warm in here.,这里是温暖的
"""I understand that you feel uneasy, but don't worry.""",我知道你不自在
Let's not argue.,我们别吵了
Tom saw everything that happened.,汤姆见证了所有发生的事情
You're really beautiful.,你真的很漂亮
I found what I was looking for.,我找到了我正在找的东西
The moonlight is really beautiful.,月光真美
In Esperanto there are only 16 grammar rules.,世界语只有
Why do you hate me?,你为什么恨我
Is it true Tom can't swim?,汤姆真的不会游泳吗
You'll find this map very useful.,你会发现这张地图非常有用
Happy New Year!,元旦快乐
What do you think would happen if the earth stopped spinning?,如果地球停止自传
Is he right?,他对吗
A ring and some cash are missing.,少了一个戒指和一点现金
I couldn't bear to look at her.,我无法忍受看着她
You should return what you borrow.,有借有还
He shaves every day.,他每天刮胡子
She wants to hug him.,她想拥抱他
This is my fault.,这是我的错
Should I buy something for him?,我应该买些东西给他吗
Please tell me what to do.,请告诉我该怎么做
There is a bookstore in front of the department store.,百货商店前有个书店
Hollywood isn't what it used to be.,好莱坞不是以前的样子了
Are you angry?,你生气了吗
Restart your computer.,重新启动你的电脑
How about playing tennis?,打网球怎么样
You should've stayed in the car.,你该留在车里
Whose notebook is that?,这台笔记本电脑是谁的
You're always busy.,你一直忙
She made a new suit for him.,她做了一套新衣服给他
I am the laziest person I know.,我是据我所知最懒的人
What did you do with my luggage?,你把我的行李放到哪里去了
She will be back within a week.,她一周之内会回来
What time will you have breakfast?,你什么时候吃早餐
It's all Greek to me.,看起来像天书
I was very tired last night.,我昨晚很累了
I completely agree with you.,我完全赞同你
Everyone was happy.,每个人都高兴
Who's the boy that's swimming over there?,在那边游泳的男孩是谁
He married a pretty girl.,他娶了一个漂亮的女孩
The recent shortage of coffee has given rise to a lot of problems.,最近的咖啡短缺带来了许多问题
Tom and I have known each other for a long time.,汤姆和我相识很久了
"""No pain, no gain.""",苦尽甘来
She tossed me grapes and I tried to catch them with my mouth.,她朝我丢葡萄
He is an expert at fishing.,他是个捕鱼好手
Your question has no answer.,你的问题没有答案
They would never meet again.,他们不会再见面了
I phone him every day.,我每天都给他打电话
He made a few grammatical mistakes.,他犯了一些文法错误
Why don't we have lunch together?,为什么我们不一起吃午饭呢
Swimming develops your muscles.,游泳锻炼肌肉
"""Excuse me, what are you doing?""",请问
We never gave up.,我们从不放弃
She was in a hurry to see her father.,她急于见她的父亲
There are seven men and four women in my section.,在我的部门里有七男四女
I want to be a computer programmer.,我想做一个程序员
Our fence is made of iron.,我们的栏杆是铁做的
She has a cottage by the sea.,她在海边有一间小屋
I don't really think Tom needs to do that.,我真的不认为汤姆有必要那么做
I will wait until she comes.,我会等到她来
Put your hat on.,戴上你的帽子
Do you like Mozart's music?,你喜欢莫扎特的音乐吗
What time is it now in Boston?,波士顿现在几点
You must've been surprised to meet your teacher in such a place.,在那种地方碰到你的老师
I haven't seen you in ages.,我已经好久没有见到你了
A ball is floating down the river.,一个球正顺流而下
We can't deny the fact that he's honest.,我们无法否认
I can't do anything but obey him.,我除了听从他之外什么也不能做
They made straight for their destination.,他们直奔目的地
Every morning she helps her mother to prepare breakfast in the kitchen.,她每天早上都帮母亲在厨房准备早餐
You're not me.,你不是我
How often do you have to see the dentist?,你多久看一次牙医
Tom had a heat stroke.,汤姆中暑了
He eats lunch at a cafeteria.,他在自助餐厅吃午餐
I miss Boston.,我想念波士顿
Did you visit the Tower of London?,你参观伦敦塔了吗
"""When I first met Tom, I didn't like him much.""",我第一次见到汤姆时
Don't you think it's strange that he's not here?,他不在这儿你不觉得这很奇怪吗
Volleyball is a lot of fun.,排球很有意思
I thought Tom was going to hurt me.,你认为汤姆要伤害我
This ball is that boy's treasure.,这个球是那个男孩的宝贝
My son is tired of hamburgers.,我的儿子厌烦了汉堡包
Tom didn't write Mary back.,汤姆没回复玛丽
You're photogenic.,你很上相
This chair is light.,这把椅子很轻
Who's working tonight?,今晚谁上班
I'm not interested.,我不感兴趣
You have everything.,您全都有
Do you know how to drive this thing?,你知道怎么驾驶这玩意儿吗
The rain is beating against the windows.,雨点打着窗户
I can do this myself.,我可以自己做
"""""""What's going on in the cave? I'm curious."""" """"I have no idea.""""""",“
He graduated from Harvard University with honors.,他光荣地从哈佛大学毕业了
Please don't tell your parents this.,请不要告诉你父母
Do you plan to eat all of that yourself?,你打算自己一人把它全部吃了吗
I waited for him all day long.,我等了他一整天
She left her umbrella in the train.,她把她的雨伞留在火车上了
Could you possibly suggest a way to solve the problem?,你能提出解决问题的方法吗
I believe this was unnecessary.,我相信这是不必要的
I wish that I could stop hiccuping.,我希望我能停止打嗝
"""If the car breaks down, we'll walk.""",如果车子坏了
Cherry blossoms are very beautiful.,樱花非常漂亮
We had a late lunch at two.,我们在两点钟很晚才吃午餐
I've never met her.,我以前从没见过她
I was mistaken for a salesman.,我被误认为是推销员
"""Suddenly, the light went out.""",灯突然灭了
I hope Tom loses.,我希望汤姆输
Tom is a native speaker of French.,汤姆是法语母语者
Do you go to school on Saturday?,你星期六去上学吗
Please forgive me.,请您原谅
He entered the army.,他加入了陆军
I felt my hands tremble.,我感觉到我的手在震动
My wife buys vegetables from a supermarket nearby.,我老婆在附近的超市买蔬菜
He can drive a car.,他会开车
A permit is required.,需要准许
It's not something that anyone can do.,这不是任何人都能做的事
It's a pity when somebody dies.,有人死了的时候真是遗憾
Tom loves hockey.,汤姆喜欢曲棍球
That's a nice car you're driving.,你开的那辆车很不错
It never rains but it pours.,不下雨则矣
Get Tom.,找到汤姆
Your grades are better than mine.,你成绩比我好
Is this a duty-free shop?,这是一间免税商店吗
Do you like to drink wine?,你喜欢喝红酒吗
He sometimes goes to work by car.,他有时开车去上班
Tom must be crazy.,汤姆一定疯了
What'll you give Tom?,你要给汤姆什么
True love never grows old.,真爱不会变老
He looks like his father.,他看起来像他的父亲
Don't shout.,不许大叫
I won't stay silent.,我不会保持沉默的
What Tom said doesn't apply in this situation.,汤姆所言不符时局
Call Tom now.,现在给汤姆打电话
Why did you leave the class yesterday?,您昨天为什么离开教室
Take your hats off.,把你们的帽子摘下来
He caught her by the arm.,他抓住了她的胳膊
She hung the calendar on the wall.,她把日历挂在墙上了
I know where I'm going next.,我知道我接下来去哪里
"""""""Where have you been?"""" """"I have been to the station to see a friend off.""""""",“
It is already past five o'clock.,已经过了五点钟
Choose your favorite racket.,选择你喜欢的球拍
I got some sand in my eye.,我的眼睛进了些沙
That young lady is a nurse.,这个年轻女孩是护士
It became quiet again in the forest.,森林里又再变得安静下来了
He is anxious to see you.,他急于要见你
Turn to the left.,向左转
It makes sense.,那样说得通
Don't let your feelings show.,不要流露你的感情
This is the book that you're looking for.,这是你要找的书
Tom knows that I don't like him.,汤姆知道我不喜欢他
How long were you in jail?,你在监狱里呆了多久
What did you tell your boss?,你跟你的老板说什么了
I plan to catch the 10:30 train.,我打算搭十点三十分的火车
I need more time to finish my homework.,我需要更多时间来完成我的家庭作业
They made us work all night.,他们要我们整夜工作
Tom used a fire extinguisher to try and put the fire out.,汤姆试著用灭火器把火扑灭
I've made a mistake.,我搞错了
I will not go to school tomorrow.,我明天不会去学校
What are you punishing them for?,您为什么惩罚他们
You're a beautiful woman.,你是个美人
He can read well enough.,他能读得很好
Tom is a strange person.,汤姆是个怪人
You must choose.,你必须做出选择
We weren't making fun of you.,我们没有笑话你
She was on the verge of crying.,她要哭出来了
I know what Tom is doing.,我知道汤姆在做什么
What souvenir do you think she would like most?,你觉得她最想要什么纪念品
Are you saying that I killed Tom?,你是说是我杀了汤姆吗
I would rather stay at home than go out in this hot weather.,在这种暑天里我宁愿呆在家也不出去
You can't go outside.,你不能到外面去
He's always running short of cash.,他的现金总是不够用
He will travel abroad next year.,明年他要去国外旅游
Where do I get the subway?,我在哪里坐地铁
Tom was embarrassed to have to ask for help.,汤姆很不好意思去求帮忙
I'm thinking of going to Europe.,我正在考虑去欧洲
Have you read this book already?,你读过这本书了吗
I was going to work here all day.,我要在这里工作一整天
Tom is ecstatic.,汤姆兴奋不已
I know you still miss me.,我知道你还是想我的
I'm fine now.,已经没事了
Who's the man playing the piano?,那个正在弹钢琴的男人是谁
We don't have time.,我们没时间
It is two miles from here to the park.,从这里到公园距离两英里
The street was crowded with people.,街道上挤满了人
Whether you like it or not doesn't matter.,你喜不喜欢没关系
When did you begin studying English?,你们什么时候开始学英语的
Our train is delayed.,我们的车误点了
He is very fond of music.,他非常喜欢音乐
Don't make trouble.,别闹事
The ozone in the stratosphere absorbs ultraviolet radiation.,平流层的臭氧会吸收紫外线
Tom went back to his bedroom.,汤姆回到了他的卧室
Is there anything else you can tell me?,你还能告诉我甚么
A hare raced with a tortoise.,兔子和乌龟赛跑
We want candy.,我们想要糖
"""He told me to do it, so I did it.""",他让我做
I was almost hit by a car.,我几乎被车撞到了
Do you drink green tea?,您喝绿茶吗
Be kind.,友好点
Go home.,回家吧
Tom is studying to become a marine biologist.,汤姆正在为成为海洋生物学家学习
She was a genius in mathematics.,她是个数学天才
You're our only hope.,你是我们唯一的希望
My father is always poking his nose into my private life.,我的父亲总是干涉我的私生活
I came to Japan from China.,我从中国到日本
Are you my father?,你是我爸吗
This is the office in which he works.,这是他工作的办公室
"""I know you're busy, too.""",我知道
Did Tom break something again?,汤姆又弄坏了什么东西吗
Tom has been under a great deal of strain lately.,汤姆最近压力特别大
I can't believe you love me.,我不能相信你爱我
She has kept a diary for 3 years.,她已经写了三年的日记
You or I will be chosen.,你或者我会被选中
That's where the problem lies.,问题就在这里
Allow me to introduce myself.,请允许我自我介绍一下
Any comments are welcome.,欢迎作任何评论
"""The sun was shining, yet it was cold.""",虽然有阳光照射
Tom needs to get into shape.,Tom
I'll see to it.,我会留意的
I don't like English.,我不喜欢英语
I need a doctor.,我需要医生
Do you still love Tom?,你依然爱汤姆吗
I had a feeling this might happen.,我早就有感觉到这可能会发生
I am an only child.,我是独生子
Tom doesn't have a good French-English dictionary.,Tom
I'm ill.,我生病了
"""They didn't come here, did they?""",他们没来这里
I'm open to suggestions.,我愿意接受建议
This room has two closets for clothing.,这房间有两个衣橱
"""Tom is a good friend of yours, isn't he?""",汤姆是你的好朋友
"""There's no light without shade, and no shade without light.""",不存在没有阴影的光明
Please have someone else do it.,请让别人去做
You must clear the table.,你必须把桌子清理干净
It's about time we went to bed.,差不多是我们就寝的时间了
We watched the children play.,我们看着这孩子玩耍
You should have come earlier.,你本应该来得更早的
Be friendly.,友好点
She wept the entire night.,她一整晚都在哭
My city is fifty kilometres from the capital.,我的城市离首都五十千米
Tom is a very talented writer.,汤姆是个很有才华的作家
They were only interested in selling books.,他们只对卖书有兴趣
"""If you don't kill them, they'll kill you.""",你不杀他们
She wasn't able to open the bottle.,她无法打开这个瓶子
The only useful answers are those that raise new questions.,只有能提出新问题的回答才是有用的回答
I don't care what he does.,我不在乎他做什么
How much will it cost?,这要多少钱
What time do you wake up on Sundays?,你星期天几点起床
Do you need this book?,你需要这本书吗
He played baseball after school.,他放学后打棒球
A beautiful woman was seated one row in front of me.,一个美丽的女人坐在我前面一排
Give Tom a hand.,帮汤姆一把
You can always count on Tom.,你可以永远信赖汤姆
She teaches reading and writing.,她教阅读和写作
Have you ever seen the man in this photo?,你见过这张照片上的男人吗
The teacher granted me permission to go home early.,老师允许我提前回家
Tom wanted Mary to go home.,汤姆想让玛丽回家
What about you?,您呢
Tom runs faster than me.,汤姆跑得比我快
My father's a doctor.,我父亲是个大夫
Come home.,回家吧
They furnished the library with new books.,他们在图书馆装备了新的书籍
He will regret it sooner or later.,他迟早会后悔
You are as tall as I am.,你和我一样高
My mother gets up early every morning.,我妈妈每天早上早起
I wrote down his phone number.,我记下了他的电话号码
I understand.,我明白了
Tom left his umbrella on the bus.,汤姆把伞落在了巴士上
Isn't that good enough?,那不够好吗
Tom has only a week to decide.,汤姆只有一周时间做决定
Tom will graduate in October.,汤姆将在
He fixed the net.,他修好了网
You can count on her.,你可以相信她
Today was fun.,今天很有趣
She walked around looking for him.,她走来走去地找他
The policeman lifted the box carefully.,警察小心翼翼地抬起箱子
May I have a bus schedule?,我可以有张公车的时刻表吗
Japan depends on other countries for oil.,日本的石油依靠进口
I've got to shave before leaving.,离开前我必须刮胡子
No one cares what I think.,没人关心我想什么
Can I register for that class?,我可以登记这堂课吗
Were you in Boston for a long time?,你在波士顿待了很久吗
Hurry up! We'll be late.,快点
What's your name?,叫什么名字
I liked Tom's first book more than the second.,相比第二本
She succeeded in drawing the truth from him.,她成功地从他口中得知了真相
I found the new magazine very interesting.,我发现这本新杂志非常有趣
She gave the blouse a quick wash.,她很快地把衬衫洗一洗
She taught music for thirty years.,她教了三十年的音乐
Speaking English is useful.,说英语很有用
I don't understand at all.,我完全不懂
I'll leave that to you.,我会留给你
He has a large farm in Colorado.,他在科罗拉多州有一个大农场
Please come to my office in the afternoon.,下午请到我办公室来
A whale is a mammal.,鲸鱼是哺乳动物
Tom has something else to say.,汤姆还有想说的事
He started going bald quite young.,他很年轻就开始秃头了
I don't mind walking in the rain.,我不介意在雨中漫步
He is my type!,他是我的菜
Tom isn't interested in Mary at all.,汤姆对玛丽一点也不感兴趣
My mother opened the door very carefully.,我妈妈小心翼翼地打开门
I hope I'm not boring you.,希望我没有烦到你
Did you kill Tom?,是你杀了汤姆吗
My mother made us cheese sandwiches for lunch.,妈妈为我们做了乳酪三明治当午餐
Admission is free for children.,儿童免费入场
He thinks that he is a great poet.,他自认为他自己是个伟大的诗人
He often eats breakfast there.,他常常在那里吃早餐
Tom is more famous than you.,汤姆比你有名气
How many children do you have?,你有几个小孩
It was Marie Curie who discovered radium.,镭是居里夫人所发现的
She doesn't like soccer.,她不喜欢足球
You didn't tell me Mary was so beautiful.,你没告诉我玛丽这么漂亮
How did you arrive at that conclusion?,你们怎么得出这个结论的
He always mistakes me for my sister.,他老是把我和我姐姐搞错
She used margarine instead of butter.,她用人造黄油代替了黄油
Tom wanted revenge.,汤姆想报仇
Do you have a fever?,你发烧了吗
Turn left at the first light.,在第一个红绿灯左转
I'd like three pounds of chicken.,我要三磅的鸡肉
Put the book there.,把书放在那里
We need to leave.,我们必须走了
I've just arrived at the airport.,我刚刚抵达了机场
Who died?,谁死了
Please tell the truth.,请把事实说出来
I live in this neighborhood.,我住在这附近
He didn't listen to music.,他没有听音乐
Tom passed away last night.,汤姆在昨晚去世了
I like your car.,我喜欢您的车
"""Yesterday, I read a really interesting story.""",昨天
That was the best day of my life.,那是我生命中最美的一天
The lion is the king of the jungle.,狮子是丛林之王
"""If I were to tell you all I know, you would be amazed.""",要是我告诉你我所知的一切
We forgive you.,我们原谅你
He said that you had better go.,他说你最好去
Few students could understand what he said.,几乎没有学生能懂他所说的话
"""When I woke up, it was snowing.""",当我醒来时
"""You are a good cook, aren't you?""",你很会做菜
I bought it for about twelve dollars.,我用
She's dieting.,她在节食中
Do you know the answer?,你知道答案吗
How do you pronounce your last name?,你的姓怎么读
Thousands of people lost their jobs.,数千人失业
The horse is a useful animal.,马是种很有用的动物
Did you forget anything?,没有什么落下的吧
Basho was the greatest poet.,Basho
Tom needs a change of scenery.,汤姆需要换换风景
I hate winter.,我恨冬天
Are you sure?,你确定吗
Shall we start the meeting now?,现在是不是该开会了
I still have a question.,我还有个问题
The admission is ten dollars a person.,入会费一个人十美元
Don't throw away this magazine. I haven't read it yet.,这本杂志不要扔
Which bed do you want to use?,你想睡哪张床
Tom slept.,汤姆睡了
Lots of herons live in the marsh.,许多苍鹭在沼泽地中生活
I'm afraid it won't work.,我怕它是行不通的
I think that what you're doing is wrong.,我觉得你正在做的是错的
He lost everything he owned.,他失去了他拥有的一切
Do you think we should send for the doctor?,你认为我们应该派人去请医生来吗
Stay put till I get to you.,待在原地
Tom doesn't know how to have fun.,汤姆不知道怎样玩得开心
He made me sing on the stage.,他让我在舞台上唱歌
I'll be very happy if I can serve you.,能为你服务我会感到非常高兴
I don't think that he's honest.,我不觉得他诚实
How soon do you need it?,你多久后需要它
Tom has admitted he was there that night.,汤姆承认他那晚是在那里
She is busy preparing supper now.,她现在正忙著准备晚饭
"""You think I'm mad, don't you?""",你认为我疯了
That wasn't what I intended.,那不是我的本意
It's almost three o'clock.,将近三点了
The button came off.,扣子掉了
I caught five fish yesterday.,我昨天钓了五条鱼
Everyone knows that Tom speaks good French.,每个人都知道汤姆的法语很好
She looks like a teacher.,她看起来像老师
I'll be in my office.,我会在我的办公室里
They want more.,他们想要更多
Tom hurried so he wouldn't miss the train.,汤姆加紧步伐以赶上火车
I was searched by the customs officers at the airport.,我在机场被海关人员搜查
I was at home then.,那个时候
Why are you guys so angry?,你们为什么这么生气
I'm not at all satisfied with this result.,我对这个结果一点儿也不满意
The law should not be violated.,法律不应受到侵犯
Swimming is easy for me.,游泳对我来说很容易
I hope Tom's predictions are wrong.,我希望汤姆的预测是错的
Mary plays the piano.,玛丽弹钢琴
I'm good at tennis.,我擅长网球
He is always laughing.,他总是在笑
I just want to be Tom's friend.,我只想做汤姆的朋友
He made remarkable progress in English.,他的英语有了显著的进步
It'll cost at least five dollars.,它至少要花五美元
I may give up soon and just take a nap.,也许我会马上放弃然后去打盹
She answered in tears.,她很伤心地回答
What would you like for dessert?,你要什么甜点
You have to move.,你得行动了
Did you plan to eat all of that yourself?,你打算自己一人把它全部吃了吗
Please turn off the TV.,请把电视关掉
I need to know what you think.,我需要知道你怎么想
How do you get your children to eat vegetables?,你怎样让你的孩子们吃蔬菜
Everyone knows Bell invented the telephone.,任何人都知道贝尔发明了电话
What are you talking about?,你说的是什么
There used to be a store right here.,这里以前有个商店
It's been raining since last night.,从昨晚起一直下雨
The cat arched its back and stretched itself.,猫弓起背
Stay off the grass.,不要走在草地上
Clean the room.,打扫房间
She is good at playing the piano.,她擅长弹钢琴
Tom will try and stop me for sure.,汤姆一定会来阻止我
I think you understand me.,我认为你了解我
I decided not to study French.,我决定不学法语
The bridge is under construction.,桥在建造中
The conference will end tomorrow.,会议明天就结束了
He flatly refused to let me in.,他断然地拒绝让我进去
Please don't shoot.,请不要开枪
Are you interested in music?,你对音乐感不感兴趣
When was the last time you watered the garden?,你最后一次给花园浇水在什么时候
I played catch with my father.,我和我爸爸玩接球
Please sing a song.,请唱一首歌
Tom paid me back the money he owed me.,汤姆把欠我的钱还给我了
Maybe you're right.,你可能是对的
She hit the ball hard.,她用力地拍了球
There was no one in the room.,房间里没有人
Tom's blood pressure is high.,汤姆有高血压
He was expelled from school.,他被逐出了学校
"""For the time being, my sister is an assistant in a supermarket.""",目前
What's her name?,她叫什么名字
Mary is the prettiest girl in her class.,玛丽是班里面长得最漂亮的女孩
She does not have a ticket.,她没有票
You're in my way.,你挡住了我的路
One hundred and fifty people entered the marathon race.,150
It is up to you to decide whether we will go there or not.,该由你来决定我们去不去那儿
Let me introduce my mother to you.,让我向你介绍我的母亲
I think what you say is true.,我觉得你说的是真的
I subscribe to two newspapers.,我订阅了两份报纸
The town was full of activity.,小镇充满了活力
There were three uniformed police officers at the crime scene.,犯罪现场有三名穿制服的警察
I'll call you up tomorrow morning.,明天早上我会打电话给你
Apples were served as the dessert.,苹果被用来当作甜点
Let's get started.,让我们开始吧
I go to work every day.,我每天去上班
This camera is cheap.,这个相机很便宜
What color is your car?,你的车什么颜色
He earns his living by writing.,他靠写作谋生
"""He promised to come, but he didn't come.""",他保证过会来却没有来
Are you doing anything special?,你在做什么特别的事吗
It wasn't me who told you not to do that.,不是我告诉你不要去做的
I don't want to go alone.,我不想独自前往
I'm really tired.,我累死了
You are irresistible.,你是不可抗拒的
They were left speechless.,他们惊得目瞪口呆
I think we're ready.,我认为我们准备好了
My grandfather is a carpenter.,我爷爷是个木匠
Tom likes me the most.,Tom
How important can it be?,它能有多重要
Tom has a lot to think about.,汤姆要考虑很多
It's time to wait now.,现在是时候等着了
Who will you vote for for president?,你选谁当总统
"""In that case, let's go.""",那么
I'm going to Europe next week.,我下周要去欧洲
He lives in a world of fantasy.,他住在一个奇幻世界里
How many different kinds of pizzas are on the menu?,菜单上有多少种比萨
Did you check all the items on the shopping list?,你检查购物单上所有的项目了吗
I had a terrible dream last night.,昨晚我作了一个可怕的梦
The things he says are not the least bit important.,他说的话根本毫无意义
"""Come in, the door's open.""",进来
This pear smells nice.,这只梨闻上去很香
There is nothing worse than doing something in a half-hearted manner.,没有什么比做事缺乏热情更糟
Thanks for everything.,感谢你做的所有事
That isn't the problem.,不是这个问题
I wrote this book.,我写了这本书
Something is changing.,有些东西在变化
She is a teacher.,她是女教师
His wife is one of my friends.,他的妻子是我的一个朋友
Dentists take x-rays to examine your teeth.,牙医用
Don't complain. You have to go.,别抱怨了
When are the elections?,什么时候选举
